id,배지 이름,배지 설명,배지 타입,희귀도,거리(km),고도(m),속도(km/h),온도(°C),시간(분),연속(일),주기_조건,특수조건,선행_배지
248,바람의 파편,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(속도),mythic,,,15.5,,,,,,"첫 숨결,두 바퀴의 시작"
249,가속의 쾌감,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(속도),common,,,17.0,,,,,,
250,가속의 쾌감,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(속도),rare,,,18.0,,,,,,"첫 숨결,두 바퀴의 시작"
251,가속의 쾌감,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(속도),legendary,,,19.0,,,,,,"첫 숨결,두 바퀴의 시작"
252,가속의 쾌감,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(속도),mythic,,,20.0,,,,,,"첫 숨결,두 바퀴의 시작"
253,허물어지는 풍경,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(속도),common,,,21.5,,,,,,
254,허물어지는 풍경,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(속도),rare,,,22.5,,,,,,"첫 숨결,두 바퀴의 시작"
255,허물어지는 풍경,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(속도),legendary,,,23.5,,,,,,"첫 숨결,두 바퀴의 시작"
256,허물어지는 풍경,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(속도),mythic,,,24.5,,,,,,"첫 숨결,두 바퀴의 시작"
257,쏜살같은 궤적,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(속도),common,,,26.0,,,,,,
258,쏜살같은 궤적,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(속도),rare,,,27.0,,,,,,"첫 숨결,두 바퀴의 시작"
259,쏜살같은 궤적,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(속도),legendary,,,28.0,,,,,,"첫 숨결,두 바퀴의 시작"
260,쏜살같은 궤적,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(속도),mythic,,,29.0,,,,,,"첫 숨결,두 바퀴의 시작"
261,질주의 미학,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(속도),common,,,30.5,,,,,,
262,질주의 미학,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(속도),rare,,,31.5,,,,,,"첫 숨결,두 바퀴의 시작"
263,질주의 미학,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(속도),legendary,,,32.5,,,,,,"첫 숨결,두 바퀴의 시작"
264,질주의 미학,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(속도),mythic,,,33.5,,,,,,"첫 숨결,두 바퀴의 시작"
265,한계 속도 돌파,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(속도),common,,,35.0,,,,,,
266,한계 속도 돌파,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(속도),rare,,,36.0,,,,,,"첫 숨결,두 바퀴의 시작"
267,한계 속도 돌파,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(속도),legendary,,,37.0,,,,,,"첫 숨결,두 바퀴의 시작"
268,한계 속도 돌파,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(속도),mythic,,,38.0,,,,,,"첫 숨결,두 바퀴의 시작"
269,음속의 파편,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(속도),common,,,39.5,,,,,,
270,음속의 파편,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(속도),rare,,,40.5,,,,,,"첫 숨결,두 바퀴의 시작"
271,음속의 파편,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(속도),legendary,,,41.5,,,,,,"첫 숨결,두 바퀴의 시작"
272,음속의 파편,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(속도),mythic,,,42.5,,,,,,"첫 숨결,두 바퀴의 시작"
273,빛의 잔상,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(속도),common,,,44.0,,,,,,
274,빛의 잔상,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(속도),rare,,,45.0,,,,,,"첫 숨결,두 바퀴의 시작"
275,빛의 잔상,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(속도),legendary,,,46.0,,,,,,"첫 숨결,두 바퀴의 시작"
276,빛의 잔상,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(속도),mythic,,,47.0,,,,,,"첫 숨결,두 바퀴의 시작"
277,차원을 넘은 속도,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(속도),common,,,48.5,,,,,,
278,차원을 넘은 속도,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(속도),rare,,,49.5,,,,,,"첫 숨결,두 바퀴의 시작"
279,차원을 넘은 속도,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(속도),legendary,,,50.5,,,,,,"첫 숨결,두 바퀴의 시작"
280,차원을 넘은 속도,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(속도),mythic,,,51.5,,,,,,"첫 숨결,두 바퀴의 시작"
281,작심삼일의 파괴자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(연속),common,,,,,,3,,,
282,작심삼일의 파괴자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(연속),rare,,,,,,4,,,"시간의 마술사,동네 산책러"
283,작심삼일의 파괴자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(연속),legendary,,,,,,5,,,"시간의 마술사,동네 산책러"
284,작심삼일의 파괴자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(연속),mythic,,,,,,6,,,"시간의 마술사,동네 산책러"
285,습관의 조각가,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(연속),common,,,,,,8,,,
286,습관의 조각가,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(연속),rare,,,,,,9,,,"시간의 마술사,동네 산책러"
287,습관의 조각가,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(연속),legendary,,,,,,10,,,"시간의 마술사,동네 산책러"
288,습관의 조각가,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(연속),mythic,,,,,,11,,,"시간의 마술사,동네 산책러"
289,멈추지 않는 톱니바퀴,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(연속),common,,,,,,13,,,
290,멈추지 않는 톱니바퀴,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(연속),rare,,,,,,14,,,"시간의 마술사,동네 산책러"
291,멈추지 않는 톱니바퀴,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(연속),legendary,,,,,,15,,,"시간의 마술사,동네 산책러"
292,멈추지 않는 톱니바퀴,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(연속),mythic,,,,,,16,,,"시간의 마술사,동네 산책러"
293,매일의 증명,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(연속),common,,,,,,18,,,
294,매일의 증명,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(연속),rare,,,,,,19,,,"시간의 마술사,동네 산책러"
295,매일의 증명,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(연속),legendary,,,,,,20,,,"시간의 마술사,동네 산책러"
296,매일의 증명,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(연속),mythic,,,,,,21,,,"시간의 마술사,동네 산책러"
297,일상의 기적,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(연속),common,,,,,,23,,,
298,일상의 기적,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(연속),rare,,,,,,24,,,"시간의 마술사,동네 산책러"
299,일상의 기적,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(연속),legendary,,,,,,25,,,"시간의 마술사,동네 산책러"
300,일상의 기적,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(연속),mythic,,,,,,26,,,"시간의 마술사,동네 산책러"
301,시간의 성벽,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(연속),common,,,,,,28,,,
302,시간의 성벽,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(연속),rare,,,,,,29,,,"시간의 마술사,동네 산책러"
303,시간의 성벽,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(연속),legendary,,,,,,30,,,"시간의 마술사,동네 산책러"
304,시간의 성벽,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(연속),mythic,,,,,,31,,,"시간의 마술사,동네 산책러"
305,철의 의지,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(연속),common,,,,,,33,,,
306,철의 의지,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(연속),rare,,,,,,34,,,"시간의 마술사,동네 산책러"
307,철의 의지,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(연속),legendary,,,,,,35,,,"시간의 마술사,동네 산책러"
308,철의 의지,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(연속),mythic,,,,,,36,,,"시간의 마술사,동네 산책러"
309,꺾이지 않는 투지,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(연속),common,,,,,,38,,,
310,꺾이지 않는 투지,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(연속),rare,,,,,,39,,,"시간의 마술사,동네 산책러"
311,꺾이지 않는 투지,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(연속),legendary,,,,,,40,,,"시간의 마술사,동네 산책러"
312,꺾이지 않는 투지,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(연속),mythic,,,,,,41,,,"시간의 마술사,동네 산책러"
313,영원의 루프,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(연속),common,,,,,,43,,,
314,영원의 루프,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(연속),rare,,,,,,44,,,"시간의 마술사,동네 산책러"
315,영원의 루프,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(연속),legendary,,,,,,45,,,"시간의 마술사,동네 산책러"
316,영원의 루프,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(연속),mythic,,,,,,46,,,"시간의 마술사,동네 산책러"
317,살아있는 전설,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(연속),common,,,,,,48,,,
318,살아있는 전설,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(연속),rare,,,,,,49,,,"시간의 마술사,동네 산책러"
319,살아있는 전설,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(연속),legendary,,,,,,50,,,"시간의 마술사,동네 산책러"
320,살아있는 전설,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(연속),mythic,,,,,,51,,,"시간의 마술사,동네 산책러"
321,새벽의 파수꾼,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(야간),common,,,,,10,,,04:00-07:00,
322,새벽의 파수꾼,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(야간),rare,,,,,20,,,04:00-07:00,"동네 산책러,첫 숨결"
323,새벽의 파수꾼,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(야간),legendary,,,,,30,,,04:00-07:00,"동네 산책러,첫 숨결"
324,새벽의 파수꾼,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(야간),mythic,,,,,40,,,04:00-07:00,"동네 산책러,첫 숨결"
325,달빛 산책자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(야간),common,,,,,10,,,22:00-02:00,
326,달빛 산책자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(야간),rare,,,,,20,,,22:00-02:00,"동네 산책러,첫 숨결"
327,달빛 산책자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(야간),legendary,,,,,30,,,22:00-02:00,"동네 산책러,첫 숨결"
328,달빛 산책자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(야간),mythic,,,,,40,,,22:00-02:00,"동네 산책러,첫 숨결"
329,고요한 밤의 손님,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(야간),common,,,,,10,,,04:00-07:00,
330,고요한 밤의 손님,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(야간),rare,,,,,20,,,04:00-07:00,"동네 산책러,첫 숨결"
331,고요한 밤의 손님,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(야간),legendary,,,,,30,,,04:00-07:00,"동네 산책러,첫 숨결"
332,고요한 밤의 손님,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(야간),mythic,,,,,40,,,04:00-07:00,"동네 산책러,첫 숨결"
333,여명의 추적자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(야간),common,,,,,10,,,22:00-02:00,
334,여명의 추적자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(야간),rare,,,,,20,,,22:00-02:00,"동네 산책러,첫 숨결"
335,여명의 추적자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(야간),legendary,,,,,30,,,22:00-02:00,"동네 산책러,첫 숨결"
336,여명의 추적자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(야간),mythic,,,,,40,,,22:00-02:00,"동네 산책러,첫 숨결"
337,별빛의 인도자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(야간),common,,,,,10,,,04:00-07:00,
338,별빛의 인도자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(야간),rare,,,,,20,,,04:00-07:00,"동네 산책러,첫 숨결"
339,별빛의 인도자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(야간),legendary,,,,,30,,,04:00-07:00,"동네 산책러,첫 숨결"
340,별빛의 인도자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(야간),mythic,,,,,40,,,04:00-07:00,"동네 산책러,첫 숨결"
341,어둠을 가르는 자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(야간),common,,,,,10,,,22:00-02:00,
342,어둠을 가르는 자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(야간),rare,,,,,20,,,22:00-02:00,"동네 산책러,첫 숨결"
343,어둠을 가르는 자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(야간),legendary,,,,,30,,,22:00-02:00,"동네 산책러,첫 숨결"
344,어둠을 가르는 자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(야간),mythic,,,,,40,,,22:00-02:00,"동네 산책러,첫 숨결"
345,심야의 독주,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(야간),common,,,,,10,,,04:00-07:00,
346,심야의 독주,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(야간),rare,,,,,20,,,04:00-07:00,"동네 산책러,첫 숨결"
347,심야의 독주,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(야간),legendary,,,,,30,,,04:00-07:00,"동네 산책러,첫 숨결"
348,심야의 독주,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(야간),mythic,,,,,40,,,04:00-07:00,"동네 산책러,첫 숨결"
349,첫 햇살의 환영,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(야간),common,,,,,10,,,22:00-02:00,
350,첫 햇살의 환영,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(야간),rare,,,,,20,,,22:00-02:00,"동네 산책러,첫 숨결"
351,첫 햇살의 환영,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(야간),legendary,,,,,30,,,22:00-02:00,"동네 산책러,첫 숨결"
352,첫 햇살의 환영,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(야간),mythic,,,,,40,,,22:00-02:00,"동네 산책러,첫 숨결"
353,그림자 사냥꾼,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(야간),common,,,,,10,,,04:00-07:00,
354,그림자 사냥꾼,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(야간),rare,,,,,20,,,04:00-07:00,"동네 산책러,첫 숨결"
355,그림자 사냥꾼,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(야간),legendary,,,,,30,,,04:00-07:00,"동네 산책러,첫 숨결"
356,그림자 사냥꾼,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(야간),mythic,,,,,40,,,04:00-07:00,"동네 산책러,첫 숨결"
357,밤의 군주,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(야간),common,,,,,10,,,22:00-02:00,
358,밤의 군주,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(야간),rare,,,,,20,,,22:00-02:00,"동네 산책러,첫 숨결"
359,밤의 군주,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(야간),legendary,,,,,30,,,22:00-02:00,"동네 산책러,첫 숨결"
360,밤의 군주,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(야간),mythic,,,,,40,,,22:00-02:00,"동네 산책러,첫 숨결"
361,첫눈의 발자국,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(혹한),common,,,,5,,,,,
362,첫눈의 발자국,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(혹한),rare,,,,3,,,,,"작심삼일의 파괴자,동네 산책러"
363,첫눈의 발자국,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(혹한),legendary,,,,1,,,,,"작심삼일의 파괴자,동네 산책러"
364,첫눈의 발자국,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(혹한),mythic,,,,-1,,,,,"작심삼일의 파괴자,동네 산책러"
365,서리 낀 숨결,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(혹한),common,,,,0,,,,,
366,서리 낀 숨결,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(혹한),rare,,,,-2,,,,,"작심삼일의 파괴자,동네 산책러"
367,서리 낀 숨결,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(혹한),legendary,,,,-4,,,,,"작심삼일의 파괴자,동네 산책러"
368,서리 낀 숨결,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(혹한),mythic,,,,-6,,,,,"작심삼일의 파괴자,동네 산책러"
369,얼어붙은 땀방울,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(혹한),common,,,,-5,,,,,
370,얼어붙은 땀방울,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(혹한),rare,,,,-7,,,,,"작심삼일의 파괴자,동네 산책러"
371,얼어붙은 땀방울,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(혹한),legendary,,,,-9,,,,,"작심삼일의 파괴자,동네 산책러"
372,얼어붙은 땀방울,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(혹한),mythic,,,,-11,,,,,"작심삼일의 파괴자,동네 산책러"
